age,income,credit_score,claim_history,vehicle_value,price
66,766679,798,3,691791,32999
66,556198,760,0,1446560,56200
69,1046765,850,2,1461804,71761
29,573718,775,3,1565898,93183
56,1032501,642,3,1057301,57861
19,879034,618,2,637966,26423
20,977981,655,1,969944,48879
66,370434,640,2,1911087,99852
54,729493,709,2,687774,27933
66,684151,561,1,1633134,72247
34,273398,758,1,200000,10000
66,1031518,708,1,1128794,55672
19,454779,747,3,1158906,73457
19,517129,597,1,1049434,57114
45,396005,722,0,1075625,31817
40,910355,816,1,1109286,40449
54,242221,622,5,1127995,84252
49,885362,620,0,767704,23634
50,1013354,764,0,791587,30673
18,861153,612,1,355673,10000
36,913788,679,3,1192995,81078
19,927863,832,1,1420910,73788
61,415172,621,1,1597753,76833
43,1130420,838,1,571567,28910
49,561977,669,0,210368,10000
23,680083,599,1,1050524,48900
49,600208,754,1,437749,14053
21,847462,709,1,1128707,50729
28,538588,701,1,200000,13514
34,720074,630,1,1334883,50524
55,329396,709,0,961312,47534
41,1049399,513,1,200000,10587
22,901222,719,1,1021633,36724
69,612322,816,1,937984,37657
51,559255,541,1,1109157,44103
23,893388,663,4,1220805,75884
39,487811,621,0,200000,19830
28,737609,564,0,711516,26274
65,1048419,515,1,864387,47227
33,456622,593,0,781851,31865
50,810580,678,1,759588,37198
26,794717,803,0,1321780,45727
23,670798,562,2,207493,12908
33,548863,726,2,783406,51267
46,1064439,719,1,815097,40518
20,520729,850,1,856230,35608
37,156388,751,0,509074,26066
53,892160,756,0,1756698,73726
36,339608,762,3,1291435,76135
43,907564,616,3,1784614,111531
20,1100470,648,1,1156108,47475
36,888924,800,0,1204912,34617
37,1021423,515,3,898247,53403
49,1306014,638,2,1525233,75329
24,990028,580,0,1126211,55245
69,799172,721,3,823740,47351
58,1190184,662,0,1638628,61954
50,1226432,756,2,378872,31676
57,1230631,690,2,607153,37066
56,552356,560,0,2024247,70631
35,293794,565,2,1168281,50187
57,534042,699,3,200000,29894
18,911092,630,1,1307572,49434
28,747747,652,0,490758,14648
45,638055,784,1,670274,29361
42,868144,768,3,1920376,112860
67,258758,850,3,1562206,92895
40,742350,671,5,1699244,120157
48,1035537,642,2,657080,45596
47,864794,737,1,783557,45353
59,907542,649,2,987466,46865
52,1179211,652,3,1247358,68795
24,680157,681,2,763206,47534
33,504072,848,2,1651349,90741
43,1056854,763,1,1096474,40471
65,1051336,772,1,1496372,46923
69,867487,844,1,588004,30710
66,651888,781,3,732448,56360
19,700413,598,0,998269,38812
18,316968,779,0,716353,47318
65,1033883,791,3,1319089,66774
29,1023295,758,3,1327059,68387
22,306495,682,3,804374,45568
54,960289,749,1,1163188,49515
49,821230,698,1,1716741,72424
26,393407,611,0,1317838,42373
58,338199,634,1,1160800,59543
52,812047,763,0,1418126,51822
36,580688,618,1,1572328,58687
65,1245984,626,3,1507165,90082
33,985779,767,3,871208,48879
20,842107,712,2,1260913,64811
37,856923,751,0,780775,34529
41,1099260,589,2,878222,54330
50,953955,749,1,1091696,53320
41,849929,640,1,320621,16260
69,405921,608,2,1047457,46026
28,1618584,654,2,623423,31747
66,369045,822,3,425555,30947
25,606237,667,0,1217965,56078
53,203581,850,1,795685,29673
55,861639,514,0,987994,38431
57,745333,560,3,805450,41149
37,929582,819,1,653342,30927
52,178280,841,0,947028,32571
65,1033871,622,0,355100,11852
42,457769,706,1,861504,44020
52,655298,764,2,1692293,74878
42,979471,679,0,420209,26241
46,778380,713,3,1470463,75887
35,799582,700,1,1734719,83145
63,939753,566,3,585796,27166
35,828637,668,1,1031043,46839
19,597667,701,0,380108,18911
52,650059,709,3,320251,23094
33,763563,544,2,966868,53057
58,431333,767,1,1063672,41782
53,998802,711,2,673233,39692
50,786596,605,2,447602,28668
21,722432,850,3,586429,56730
50,1057748,668,1,1256437,42447
31,663965,674,1,1259169,55123
38,645273,757,0,1157003,37222
65,554611,850,2,745758,39217
37,802920,761,4,469775,38608
25,792535,774,1,1425104,56048
24,500114,609,3,1556467,86079
20,646691,707,1,690036,37107
34,502119,652,1,836439,33704
50,488539,763,2,313179,19785
65,181030,771,2,1113574,56964
29,630726,846,0,1730314,53545
68,189336,505,3,1277452,81052
39,561155,643,1,1784799,67534
39,516191,817,3,743846,49630
63,1015568,573,3,376954,32635
47,395519,772,2,1501723,71545
55,471644,802,2,968721,39527
55,585542,697,1,542777,24615
62,525956,572,2,1648928,73434
68,1110776,689,2,657572,34683
25,358429,831,2,452084,32265
44,586178,838,1,1140644,46829
44,799619,718,1,379300,27966
51,964355,612,2,1308940,67984
38,585927,850,1,439075,25916
47,150000,773,4,1000596,73766
50,654968,617,2,1026671,64037
45,1105608,730,3,1005967,48707
64,784656,726,1,384922,13942
50,770925,642,0,822187,29909
22,381094,731,2,1449435,79417
65,350298,799,1,819193,36548
36,705412,673,3,439647,31943
21,272086,808,3,721971,54591
52,934408,542,0,396681,11980
66,446006,850,0,200000,10000
34,692602,705,0,829423,33651
61,150000,796,5,940004,93158
45,581859,719,4,1179553,77455
47,344241,625,3,1086946,59763
46,150000,696,1,1145858,44713
63,862552,528,1,883571,36749
23,1192347,761,2,1750999,96075
52,1038842,717,1,563399,22346
58,904507,682,0,773155,30075
54,575763,767,1,1563454,63638
41,941767,703,1,744035,22069
46,1067155,754,0,855913,27428
66,741046,786,2,1061673,32698
63,344691,650,3,1366984,79968
48,550184,624,2,956801,53468
52,1210808,544,6,546502,54870
50,677576,711,2,735969,34558
69,150000,740,2,1116002,45221
38,259322,580,5,781955,49533
49,572665,827,2,713079,24935
40,1010747,625,1,527200,29535
50,618063,510,1,1377392,57948
20,1016329,834,2,851368,45874
35,542151,522,0,853905,48085
42,150000,786,3,1171955,75076
59,552531,764,3,355055,31713
48,803483,728,1,916794,35377
20,778585,652,1,1502128,78171
57,323467,745,3,874466,62984
63,594641,794,3,987806,64707
41,1505402,611,1,978868,42802
67,330019,787,1,1324537,47926
49,898217,783,3,980489,69467
64,150000,726,3,1887433,109898
39,959137,651,0,992510,34128
40,432302,784,1,725698,29052
19,820626,745,3,1504778,75602
44,312542,608,1,815725,42678
59,787255,666,3,660159,44236
19,427404,773,0,424629,18577
43,485485,710,1,1091503,53834
34,832595,797,3,717015,50341
57,570884,669,0,589058,14128
50,814114,610,3,673674,44174
26,642747,850,0,754671,29164
60,720248,548,1,1233085,57879
65,833525,655,2,1093414,42651
56,594994,725,0,842183,21739
46,401185,788,0,1124335,44394
59,540306,758,0,857463,35214
43,1058541,850,1,982626,53602
52,734851,689,2,633223,22092
67,446530,621,1,636918,35994
42,820468,680,1,960539,44456
41,840494,671,0,961436,26061
30,855999,693,0,1304472,32363
24,406648,611,2,1099729,65339
53,495282,770,2,703221,29123
62,496951,733,4,387970,25037
37,591805,586,0,1253036,49506
18,861675,787,5,1032668,80557
25,788855,626,3,1287689,78890
63,812565,593,2,1083505,59073
33,1106205,707,3,1621985,116205
31,906667,541,1,813448,42435
29,657459,753,1,916563,44306
68,344834,444,2,1216188,57120
40,485635,607,3,1245206,84957
32,621488,841,1,1030838,38625
45,948738,638,2,263562,10925
51,691800,653,2,200000,13611
19,503141,814,1,745620,36418
49,480132,628,3,908726,51797
40,679126,768,3,200000,12906
39,966996,805,3,888076,45490
68,1177305,743,5,1160474,88343
42,638269,569,2,876320,50916
39,686577,645,0,1018050,41870
39,335817,850,2,1135127,43068
66,1281757,655,1,259492,10000
69,279699,850,0,1161032,47743
59,1051498,850,2,606586,28845
23,590399,746,2,804757,44506
32,520190,726,2,635563,55347
60,366998,658,3,1329554,58556
54,1423014,691,0,431032,14339
50,766447,638,3,1452538,87951
25,706384,694,0,1856731,58329
61,966019,577,1,279551,13309
61,504750,572,3,665578,34289
22,700553,817,0,1144979,45691
56,716900,554,1,502620,18315
21,546356,779,0,791250,25198
23,1059891,529,0,970350,44503
62,634403,756,1,614871,31535
49,234060,681,3,932793,64416
69,609550,818,1,1279494,66628
47,774753,670,1,868673,38429
64,431952,519,4,484538,59037
52,455621,683,2,1365954,68753
57,536122,714,1,1455613,71408
69,1066370,688,1,1047431,44627
33,553852,751,0,507283,24545
30,1128735,649,3,548909,34107
67,515514,586,1,200000,21809
59,797504,610,4,663149,60373
47,566127,653,2,1326231,64127
36,926224,652,2,626412,35691
34,364517,850,3,517626,27456
36,922857,812,1,1309153,61237
45,734160,761,3,1360511,82617
43,508002,740,0,685547,14295
54,650133,726,6,1103779,111858
43,1160156,727,3,552899,40368
40,741353,714,0,762947,25198
26,489181,703,1,200000,20416
29,338592,511,1,1044040,42846
18,851621,666,1,858834,49161
18,758753,678,2,631229,26094
64,908506,632,0,863187,29469
51,261332,649,1,813979,35490
49,348321,727,2,569101,27360
65,1044063,769,1,1059420,38617
42,799402,726,5,780820,61258
57,860020,766,4,846287,55186
62,411193,768,2,315735,16298
18,405703,673,1,849752,49748
33,997377,747,3,828268,53836
56,1011513,542,2,569754,31898
22,373504,665,2,1112617,64453
39,316188,654,2,200000,14688
46,667422,837,6,707120,62487
20,460195,730,1,1023981,32099
29,453946,579,0,1739403,71696
43,324586,753,0,353730,10000
33,559469,781,0,935450,20548
68,353591,691,2,1119161,60691
54,371379,762,4,925339,64045
39,789517,475,1,407062,31744
46,683440,457,0,706530,21545
31,845463,593,2,200000,21625
45,205289,713,0,901546,30967
22,702964,837,0,333642,16299
64,1322691,598,2,1082264,56874
66,588318,623,0,638631,27202
47,947424,707,1,600994,28549
63,944802,655,1,966620,44269
69,959559,650,3,1004102,51259
22,749998,662,1,1248513,55595
29,869825,818,2,795455,45444
33,909704,800,3,857687,50858
43,890633,702,1,345470,15833
43,364774,848,2,1479359,55411
65,187784,745,2,526223,41962
38,233924,803,0,1189933,30839
56,618952,622,4,1192874,74746
53,878178,641,3,1059961,56528
50,368676,640,3,805043,53070
47,977191,692,2,754905,42623
54,549317,705,3,874369,58292
40,552173,729,1,200000,16398
27,449167,850,1,889560,50918
22,150000,764,1,1494300,61995
53,768794,653,3,809659,43697
51,1213800,699,2,886903,43811
69,681200,835,2,490352,18481
48,150000,770,4,974274,63919
27,934102,834,3,588812,25763
36,212560,656,1,1239942,46853
49,337289,635,1,1356531,45073
18,628498,637,2,1443838,83132
22,736853,663,1,322582,17273
62,397400,604,1,1189084,67109
21,616805,726,1,1158795,59405
33,914548,728,0,733971,35615
41,955653,820,1,1377071,55227
33,1075436,541,2,1065778,59329
19,1272825,615,2,1449246,66879
66,942966,772,2,392951,19152
45,634979,716,1,614377,27423
49,957794,704,4,937489,51039
44,840014,813,2,1369036,61461
37,851910,609,1,1081919,53416
41,753165,634,0,520664,14916
29,426383,623,1,1610536,62551
67,391571,518,0,782117,26388
52,670864,711,1,533466,30095
50,744673,652,1,589961,29601
50,496167,634,3,367103,26825
68,827002,617,2,200000,15544
60,1324229,698,2,853362,51068
54,176700,628,0,278158,20662
29,874673,719,1,1025467,39862
20,680207,741,2,1293713,64442
18,835196,673,1,1050648,56582
50,570785,667,1,917595,44018
57,656182,716,1,283657,10000
27,738850,697,1,1238419,45263
60,609509,819,1,1678625,61189
61,243837,728,1,1463307,58324
46,629825,798,0,367785,15728
30,275069,754,3,868813,67811
29,895957,581,2,786907,41587
48,150000,649,2,740785,45265
63,1008596,695,3,910831,63967
19,828868,778,1,1766032,86488
68,830016,850,1,942942,48270
67,150000,656,3,722262,40453
52,601420,704,1,1019161,31951
40,1046069,771,5,374677,36550
34,544417,694,0,613569,23215
43,376581,847,1,1294492,47447
25,508998,578,1,975337,30008
46,679516,761,2,1740692,72815
43,444588,760,2,1007072,74444
27,1070145,803,1,401670,16720
43,680599,705,1,265976,27859
51,533329,780,3,1300658,70867
68,309596,677,1,483389,28868
58,845333,627,5,447550,45574
24,838499,614,1,694006,32263
21,462337,570,3,1298503,83892
67,150000,660,3,752910,44698
62,823228,728,1,563355,15660
28,643958,681,1,1385042,52051
46,800821,717,1,1316779,48803
53,1287152,811,1,1566826,64533
42,691950,653,2,1440532,55799
38,545848,850,3,1323566,75284
53,355803,767,2,599503,42928
27,606273,682,0,1163611,37537
54,748173,680,0,1385854,44335
26,715992,609,0,1642319,75529
41,1217039,697,4,968449,78450
52,849725,505,0,703216,29683
66,659559,813,0,546347,12920
52,488031,446,1,1291772,62370
65,780001,703,3,633307,33203
53,427897,597,2,942897,38619
35,753949,636,1,547893,28718
66,846224,648,0,836431,26330
56,635064,850,1,1075594,28129
49,510914,600,2,1007700,56801
41,150000,782,1,1195179,61941
40,1043151,804,1,350363,21745
49,820990,489,2,853382,42136
54,828285,644,1,711919,14582
29,231594,833,1,507059,23862
66,1113951,581,0,600194,16745
30,560434,807,2,542367,22521
40,613361,698,0,1039972,21457
42,379213,694,3,1060055,77782
52,163916,706,1,1250249,44581
58,1047203,730,1,1031225,29208
47,1085979,613,2,963521,63523
34,650341,676,0,931556,33601
66,496184,733,3,1170263,66095
37,586886,715,2,200000,17606
65,595115,731,4,876347,64890
42,340042,635,1,1026880,46753
39,612323,756,1,1615852,54549
30,745930,711,2,455369,13785
36,1005447,557,2,441256,20789
66,704273,652,1,200000,10000
53,227094,619,2,343687,19228
29,806064,618,1,839478,38920
58,623220,657,1,610386,25277
36,1111122,755,1,601847,21135
29,1128837,643,4,909171,67278
26,1139336,720,3,1132922,71152
24,531523,705,2,905002,41353
45,1296956,629,4,910679,53411
31,805282,668,2,1061443,55226
48,1187914,777,3,200000,16523
69,549214,713,3,951597,63386
36,610420,749,3,870026,44486
64,782208,814,4,897159,51951
33,745563,739,1,666376,24168
22,1076443,527,3,817810,57494
52,630361,724,1,1061058,42220
29,1049384,644,4,1543619,97552
42,919670,850,0,223451,10000
69,635982,735,4,1128713,82823
38,896402,646,4,1387145,93673
53,558020,750,2,391776,11278
40,1405061,708,0,828234,36629
33,150000,545,0,1010310,42539
56,901882,777,2,1703578,89303
62,170621,663,0,1769331,60107
59,632302,827,2,391718,15592
56,674317,688,2,779107,40331
31,1152290,829,1,979796,42112
48,492354,738,1,1122581,56813
22,1092403,787,0,980319,40512
52,346355,655,2,520754,31169
40,1104000,731,0,503075,16744
46,557696,544,2,283499,19564
60,722030,688,1,200000,10000
28,599086,566,1,274379,19640
35,1084709,597,1,1364608,47162
64,1026321,619,1,1184111,51193
29,833050,759,1,1121311,55404
26,354439,686,2,810913,33761
27,485493,702,2,883397,61062
61,391427,684,2,792521,33422
34,150000,797,0,265225,10000
55,1078395,700,4,1159074,84999
24,601652,722,3,1241071,84209
63,598451,648,2,439867,28951
30,1148830,803,2,439500,27940
57,557203,810,0,1040706,50330
59,447858,696,0,1037179,26003
26,632576,647,2,1193070,46139
67,360199,554,1,1465429,48805
44,803306,621,0,476835,10496
19,587901,504,2,867202,42250
22,547818,618,3,499792,39287
46,521829,732,1,528603,31872
54,668133,695,1,728081,39262
55,725044,850,1,1476142,66822
36,544007,666,1,1341927,49285
25,592370,659,2,870070,48391
65,675543,795,3,200000,13960
62,645274,526,2,1057111,59985
18,709322,566,1,1047868,47955
39,496998,759,2,526562,36407
69,1001377,682,2,1232278,80262
34,729048,684,0,518870,18277
24,548845,615,1,1231095,45997
42,803315,721,3,996426,45740
62,677689,627,2,316074,13440
21,179852,706,3,755409,57447
53,802285,595,2,957860,53771
23,394148,683,0,1020063,40102
48,980328,850,1,1313270,56548
36,627475,661,4,1363109,94023
61,934021,688,2,804550,29674
56,510934,681,2,1123728,64310
44,720978,715,1,1543174,67454
27,1063073,742,0,492534,10000
43,619295,723,3,656815,44950
36,522754,725,1,237946,10000
56,896512,683,1,647427,32920
20,890698,709,2,982312,52278
62,535375,680,0,200000,10000
30,150000,536,3,1074817,68719
67,516993,850,0,711062,30839
45,903207,765,2,874930,39960
37,467489,611,1,432451,26784
45,696718,720,2,859095,42034
25,502754,578,2,1571679,85050
58,150000,655,1,740078,32357
56,497355,566,0,200000,16743
18,901939,695,2,1385508,62613
20,150000,557,0,1116979,36103
30,775650,734,2,937617,41290
45,344179,761,2,1127220,57214
66,882532,625,2,933006,47252
42,914295,714,2,1557306,77528
50,648415,620,0,1200799,34279
55,649099,746,0,717430,19502
23,458091,638,2,1496781,86072
61,296324,771,1,1627993,70583
62,1209427,536,1,1264145,60394
49,440478,609,3,1062771,61311
62,1170338,600,2,558361,34076
64,442149,718,3,1174263,63678
38,857557,749,2,1055210,37811
33,358657,725,2,889278,54292
38,857018,654,1,1179707,52008
28,602323,448,0,934823,29542
54,606245,703,1,1119513,47593
53,883006,770,2,1314331,59987
52,559257,850,3,367562,39574
36,271555,661,2,490129,33927
37,928391,640,3,535111,27719
35,356229,728,1,1676003,59926
64,854955,676,1,1153389,51237
58,991898,814,1,1190647,50233
66,587351,627,2,1351775,71493
31,1054705,677,0,481338,16082
32,844535,778,1,200000,10000
48,491241,727,0,874855,35000
18,1120428,804,3,1259028,77097
20,357498,660,1,820962,47632
33,586989,813,2,352024,27324
40,638105,550,1,537908,18474
28,881567,553,0,428296,17858
29,1034629,815,2,655054,32282
27,1015837,700,0,436247,10000
49,767124,782,0,958711,19108
33,615919,708,1,680967,47998
25,152204,699,1,1153372,45051
55,305756,580,3,509408,35325
29,1229996,697,0,1002138,37450
41,150000,822,3,884960,53728
45,464652,705,1,1058411,24952
25,1043381,761,3,1114685,62719
45,762913,758,2,1157457,71168
53,978413,608,3,1232302,70101
43,862848,777,2,1116916,68091
25,1140874,671,1,1019146,44136
67,788628,676,1,633310,25508
45,899034,850,0,1240294,43659
45,482726,753,1,621246,27656
54,875899,642,1,783234,34733
58,581162,705,3,555338,32796
53,564068,703,1,547007,13788
44,968417,850,1,773199,37125
34,970487,703,1,806788,35840
26,1206532,850,3,574577,50702
50,1186978,583,1,908785,39963
37,975194,697,3,962704,45306
30,183866,631,3,682048,47213
45,1248304,655,1,1815855,76858
65,975390,657,2,1033079,49194
46,470241,635,0,947305,39208
30,918672,850,2,629617,37209
63,388820,828,2,955136,38342
52,885589,736,2,996321,46426
23,305118,657,0,898610,42675
35,457534,638,0,1467460,45201
68,912978,766,2,219411,14462
22,1021866,727,0,747848,29244
64,797631,686,2,1185534,49881
42,614149,748,1,541334,23438
19,150000,780,3,281330,23605
27,637293,686,1,692444,28042
47,860045,629,0,1317574,35488
67,604970,581,3,550816,38079
62,693226,722,1,757429,28019
22,644314,850,3,1068592,70976
50,603488,600,3,668278,47132
18,722763,798,2,724019,32602
35,618191,639,1,639179,25628
49,1132986,657,2,672888,37495
64,150000,782,2,434825,22269
66,536247,677,3,797086,37389
28,438923,722,1,1325693,57924
38,765733,720,2,1533123,78278
43,723143,639,1,1399926,65583
42,1186657,780,3,955078,63653
39,1285342,694,1,1563540,58841
44,468074,575,0,1821143,73141
66,700150,619,1,972511,33367
30,758891,419,2,503774,33144
50,460655,704,1,1424774,54100
51,888514,817,2,418605,27662
58,628147,605,0,545396,10000
52,379709,752,1,200000,15176
18,616129,738,2,1190965,54181
38,400697,632,2,200000,19225
65,1010994,838,2,1297140,65056
23,1270467,675,3,1623776,95616
45,773445,850,4,1591110,97465
34,733383,552,3,393671,21031
22,745730,675,2,200000,27617
48,1054670,686,0,643005,21925
22,1048209,696,4,1251676,82754
55,665303,764,3,1381515,87944
20,775776,850,0,1165799,34363
40,895793,740,1,1111202,46470
54,358693,702,4,1844401,115538
54,1063782,601,4,708782,51863
27,1220449,529,1,588809,29584
27,1049509,805,4,424347,32388
36,326321,650,3,1073186,63396
34,150000,850,0,828179,29791
38,912615,778,3,1229991,80315
31,471943,730,0,719780,38672
26,786140,735,1,1151512,49864
63,1160544,736,3,746457,56102
18,502913,637,3,834918,47340
68,586733,542,1,872803,57115
62,783016,650,5,219879,31357
30,310747,698,7,844006,89418
21,472643,641,2,1124857,62881
18,707457,584,0,504755,25985
66,609863,632,1,1664049,69106
57,882522,793,4,901954,46015
49,1529793,767,1,649279,33623
51,729741,715,1,637098,20943
45,447486,752,2,1448204,76032
48,1125472,598,1,570077,32243
25,223354,628,1,1019238,46343
56,283327,727,2,1253214,69445
43,521468,609,0,1121686,36910
51,615133,709,1,674929,40767
20,514278,586,0,1235688,48197
67,690546,551,2,962310,49068
29,782422,766,1,212023,20288
18,1020687,792,0,1389306,44816
61,727356,643,1,654565,12551
22,531416,563,0,829758,21683
47,1004393,501,1,1023786,57264
47,454685,850,0,687243,25550
34,210219,710,4,1202763,80997
65,1061786,645,3,458463,40369
64,1042555,667,0,670247,26417
40,462310,527,4,1390289,89706
32,580270,755,1,910110,35241
54,424921,850,1,477274,11802
38,797987,629,3,931491,48074
31,1219614,850,2,1060661,53153
19,910864,689,1,265592,12689
28,1010717,850,0,1561713,57423
68,945918,727,2,1615761,76922
56,699964,727,4,948000,56729
55,1025002,850,0,819967,30064
51,923509,770,1,909177,40069
55,1131833,733,1,1257220,52861
67,562135,525,2,1081043,57554
51,178566,564,4,995691,86034
35,1013575,741,2,1452932,60682
47,804930,832,1,1352375,47578
32,611186,711,1,516034,10000
44,627954,646,0,1254958,46006
68,1466405,534,2,1360648,53574
51,507341,629,2,1011303,53756
69,444009,711,1,1139613,47846
55,725585,622,0,777024,23602
50,1054147,613,0,418231,18986
